,date,user_loc,message,full_name,country,country_code,geo_code
287,2020-01-12 14:58:26,"Glasgow, Scotland.","So, @Carlaw4Eastwood, in a democratic society, what does constitute a mandate? Is it ""whatever we say at the time""… https://t.co/nuCmv3T1zg","Prague, Czech Republic",Czech Republic,CZ,[14.465875 50.05958 ]
288,2020-01-12 15:08:36,"Glasgow, Scotland",@UKaForceForGood Get your facts right before talking complete &amp; utter nonsense not all who march for Scottish Indep… https://t.co/QpKxPJMHsj,"Glasgow, Scotland",United Kingdom,GB,[-4.241751 55.858303]
289,2020-01-12 15:16:33,"Tyneside, North East England",Wanting to switch to proportional representation would be a far more meaningful and useful thing for any of them to… https://t.co/vErS1Dv3M9,"South Shields, England",United Kingdom,GB,[-1.440702 54.97792 ]
290,2020-01-12 15:23:07,Cumbria,"@VanguardBears @robmoat No mate, there’s nowt healthy about Scottish independence. Imagine living on whiskey, kippe… https://t.co/kvZrHvVfK4","Keswick, England",United Kingdom,GB,[-3.129478 54.601074]
291,2020-01-12 15:24:47,"Edinburgh, Scotland","Unreal scenes

 Crowds gather in Glasgow to march for Scottish independence  https://t.co/Dt5uJfa6DW","Kirkintilloch, Scotland",United Kingdom,GB,[-4.145042 55.931524]
292,2020-01-12 15:39:25,"Brussels, Truro, Barcelona.","80,000 march for Scottish independence. @AUOBALBA @AUOBCymru 

https://t.co/z15hwrtQ7k","Charleroi, Belgique",Belgium,BE,[ 4.427648 50.422712]
293,2020-01-12 15:48:18,Leith & Edinburgh,"Glad I’m not the only one sick of hearing this. We were lied to..the goalposts were moved..simple.
#Yesthen #Yesnow… https://t.co/Afw2QtOJfH","Edinburgh, Scotland",United Kingdom,GB,[-3.203008 55.943196]
294,2020-01-12 16:01:10,Scotland,@meljomur @theSNP Personally I would then notify the UK government of our intention to carry on with #indyref2 rega… https://t.co/geQQzbKzxd,"Scotland, United Kingdom",United Kingdom,GB,[-4.200441 57.739454]
295,2020-01-12 16:27:39,London,It would be nice to have a slightly deeper style to journalism rather than clickbait here. Scrap the House of Lords… https://t.co/JsjMPrGdN9,"Lambeth, London",United Kingdom,GB,[-0.115406 51.46034 ]
296,2020-01-12 16:30:57,Edinburgh,@KeithRSteele @TheScotsman Show me any legal document anywhere that says anything about #indyref2 not being able to… https://t.co/R1Q1QWtBCz,"Edinburgh, Scotland",United Kingdom,GB,[-3.203008 55.943196]
